id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
60,F,1.6,1.275,0.3875,29.1716355,13.99047825,5.556502,8.50485,11.0
61,F,1.55,1.25,0.375,31.127751,15.52135125,6.13766675,8.50485,8.0
62,M,0.9875,0.725,0.225,6.08096775,2.721552,1.14815475,2.26796,11.0
63,F,1.675,1.3,0.4625,42.184056,18.86659225,10.6310625,10.9145575,9.0
64,I,1.35,1.0375,0.3375,23.54425975,10.77281,4.72019175,6.9456275,9.0
65,I,0.9625,0.75,0.25,6.406987,3.27436725,1.28990225,2.26796,7.0
66,I,1.0375,0.8,0.275,11.5382465,4.9611625,2.14038725,3.118445,7.0
67,I,1.025,0.775,0.2375,8.40562675,3.75630875,1.6159215,2.3530085,6.0
68,F,1.3875,1.0375,0.35,21.885814,9.82310175,4.97533725,5.17378375,9.0
69,I,1.5625,1.225,0.375,36.55668025,16.839603,7.27164675,10.9145575,14.0
70,I,0.925,0.675,0.2125,6.25106475,2.9199985,1.68679525,1.984465,7.0
71,F,1.25,0.95,0.3875,17.860185,7.6260155,3.81300775,5.10291,13.0
72,I,0.9375,0.725,0.2625,8.12213175,3.41611475,1.6726205,2.33883375,8.0
73,M,1.25,0.9375,0.3,16.31513725,6.19436575,3.4869885,5.386405,10.0
74,M,0.8125,0.625,0.225,5.7549485,2.25378525,1.03475675,1.5592225,7.0
75,I,1.1375,0.8875,0.3125,16.68368075,9.99319875,3.6003865,3.8271825,8.0
76,M,1.225,0.9625,0.35,15.37960375,5.499803,3.58621175,5.386405,13.0
77,M,1.2625,0.9375,0.275,14.5432935,6.7755305,3.50116325,4.1106775,8.0
78,F,1.525,1.175,0.3875,31.6096925,12.1052365,6.30776375,9.63883,10.0
79,F,1.4125,1.075,0.375,24.08290025,11.509897,5.556502,6.23689,8.0
80,F,1.6125,1.25,0.4125,38.2434755,15.2803805,9.00096625,9.922325,11.0
81,M,1.5875,1.3125,0.475,38.11590275,15.762322,7.01650125,11.1980525,14.0
82,I,1.0125,0.775,0.2125,11.89261525,5.1312595,2.14038725,3.118445,7.0
83,I,0.7,0.525,0.1875,4.819415,2.154562,0.793786,1.3,8.0
84,I,1.0125,0.7625,0.2375,8.51902475,4.309124,1.8994165,2.551455,7.0
85,M,1.5875,1.25,0.4375,35.81959325,15.94659375,7.257472,9.63883,10.0
86,F,1.25,1.0,0.3625,17.50581625,6.633783,4.12485225,5.8116475,10.0
87,F,1.55,1.25,0.3875,31.79396425,14.04717725,7.6827145,8.9300925,9.0
88,M,1.45,1.1375,0.425,29.3417325,11.8217415,6.1518415,8.3631025,12.0
89,F,1.6125,1.25,0.425,40.5681345,18.83824275,7.824462,10.2908685,10.0
90,F,1.575,1.2625,0.4125,34.74231225,15.06775925,6.917278,9.7805775,19.0
91,M,1.45,1.1375,0.3625,26.7902775,11.623295,5.556502,7.7961125,9.0
92,I,1.3375,1.0,0.3625,21.829115,9.6671795,3.67126025,6.6621325,10.0
93,F,1.3125,1.0125,0.35,18.27125275,7.52679225,4.082328,6.23689,9.0
94,I,1.0375,0.775,0.25,9.4970825,3.9972795,2.33883375,2.9766975,7.0
95,M,1.4875,1.175,0.3875,26.01066625,13.08329425,6.78970525,6.80388,9.0
96,F,1.525,1.175,0.3875,29.49765475,12.40290625,6.690482,9.07184,9.0
97,I,1.1,0.8375,0.2625,11.509897,4.80524025,2.2963095,3.4302895,6.0
98,F,1.5625,1.2375,0.3875,36.7693015,16.726205,6.08096775,9.07184,10.0
99,F,1.375,1.0625,0.35,24.437269,10.262519,4.422522,7.2291225,11.0
100,F,1.6125,1.2625,0.4,31.581343,14.47241975,7.8528115,9.1001895,11.0
101,M,1.575,1.2125,0.425,37.591437,19.03668925,8.4198015,6.23689,10.0
102,F,1.4375,1.1625,0.3875,31.5529935,13.4093135,6.13766675,8.77417025,10.0
103,I,1.35,1.05,0.4,20.97863,6.9456275,4.309124,6.6621325,13.0
104,I,0.575,0.4375,0.1625,1.8994165,0.737087,0.29766975,0.4819415,6.0
105,F,1.5,1.2,0.4875,36.7693015,14.401546,8.43397625,8.7599955,12.0
106,M,1.5875,1.2625,0.4375,35.25260325,17.98775775,7.427569,9.4970825,10.0
107,I,0.8,0.6125,0.2125,4.80524025,2.16873675,0.907184,1.40330025,6.0
108,M,1.425,1.0875,0.3875,27.51318975,12.09106175,5.99591925,7.2291225,13.0
109,I,1.4,1.1,0.3125,23.416687,11.07047975,5.68407475,7.37087,8.0
110,M,1.2875,0.975,0.3125,16.42853525,7.314171,3.64291075,4.6776675,10.0
111,M,1.525,1.175,0.4,30.900955,13.154168,6.350288,9.63883,10.0
112,F,1.5125,1.1625,0.4,29.1149365,11.623295,6.406987,10.20582,15.0
113,M,1.375,1.0125,0.35,20.00057225,9.468733,4.7343665,5.953395,8.0
114,I,0.7375,0.55,0.2,3.72795925,1.54504775,0.8788345,1.13398,8.0
115,M,1.425,1.1,0.375,24.00561925,10.6310625,5.3580555,7.087375,12.0
116,I,0.7375,0.5375,0.175,2.83495,1.20485375,0.52446575,0.9922325,3.0
117,M,1.2625,0.975,0.3,14.571643,6.7188315,3.6003865,4.309124,10.0
118,F,1.45,1.15,0.2875,26.43590875,11.07047975,5.74077375,7.5126175,9.0
119,I,1.0,0.775,0.275,8.7599955,3.89805625,1.7293195,2.4097075,8.0
120,I,0.4375,0.325,0.1,0.8221355,0.35436875,0.18427175,0.29766975,3.0
121,I,1.2375,0.95,0.3625,14.5999925,6.10931725,3.27436725,4.5075705,9.0
122,I,0.95,0.7125,0.2375,6.30776375,2.65067825,1.530873,2.1262125,8.0
123,F,1.55,1.2,0.4375,29.1716355,12.47378,7.3425205,8.0796075,14.0
124,I,1.15,0.8625,0.3375,13.4660125,5.443104,2.2963095,3.5436875,14.0
125,F,1.5875,1.3,0.4375,34.7848365,18.9091165,8.221355,8.17883075,9.0
126,I,0.575,0.4375,0.1375,1.6726205,0.7654365,0.35436875,0.56699,5.0
127,I,1.2,0.8875,0.2625,14.628342,6.066793,3.6003865,3.8271825,8.0
128,F,1.675,1.3125,0.375,32.98464325,14.628342,8.40562675,9.1568885,10.0
129,I,0.775,0.6,0.2,4.7910655,1.63009625,0.92135875,1.2190285,6.0
130,M,1.4,1.1125,0.375,26.01066625,10.24834425,5.5848515,6.80388,10.0
131,M,1.675,1.2625,0.3875,33.40988575,20.68096025,5.556502,7.030676,6.0
132,M,1.6,1.25,0.4125,33.9910505,13.834556,7.47009325,9.4970825,15.0
133,F,1.25,0.9375,0.275,15.4504775,7.314171,3.38776525,3.8271825,8.0
134,I,0.8375,0.575,0.15,3.92640575,1.644271,0.80796075,1.417475,6.0
135,M,1.55,1.2,0.4,30.43318825,12.40290625,6.3219385,8.6465975,11.0
136,F,1.375,1.075,0.3625,23.88445375,9.87980075,5.51397775,7.5126175,9.0
137,M,1.6625,1.3,0.5,36.61337925,16.896302,8.391452,10.489315,11.0
138,M,0.975,0.7375,0.25,8.5331995,3.44446425,1.247378,2.551455,9.0
139,I,0.9375,0.7125,0.2375,7.95203475,3.21766825,1.77184375,2.4097075,7.0
140,F,1.6125,1.25,0.4125,32.16250775,12.927372,8.37727725,8.6465975,13.0
141,I,0.975,0.7375,0.2375,8.66077225,3.64291075,1.5592225,2.551455,7.0
142,M,1.3,1.025,0.3875,21.41804725,8.63242275,4.4508715,7.5126175,12.0
143,F,1.5,1.1875,0.4125,32.89959475,17.02387475,6.13766675,8.3631025,9.0
144,F,1.6875,1.325,0.4375,38.82464025,15.18115725,7.04485075,13.60776,15.0
145,F,1.625,1.3125,0.5,48.477645,14.04717725,8.7599955,16.44271,17.0
146,I,0.9375,0.7125,0.2625,6.44951125,2.22543575,1.31825175,2.1262125,7.0
147,I,1.125,0.875,0.275,13.53688625,6.84640425,2.778251,3.33106625,7.0
148,F,1.45,1.125,0.3875,24.13959925,10.24834425,4.7910655,8.788345,20.0
149,M,1.3625,1.1,0.3875,22.92057075,9.07184,4.7343665,7.087375,11.0
150,I,0.9125,0.675,0.2125,6.30776375,2.65067825,1.587572,1.984465,6.0
151,M,1.1625,0.9125,0.2625,13.267566,5.4147545,2.551455,4.819415,7.0
152,M,1.4,1.1125,0.375,24.50814275,12.190285,5.88252125,6.0384435,9.0
153,F,1.5,1.2,0.325,31.19862475,14.5999925,5.556502,8.50485,12.0
154,M,1.6875,1.3375,0.4875,47.9390045,20.70930975,10.19164525,12.8990225,11.0
155,I,1.3125,0.9875,0.325,17.05222425,7.0590255,3.061746,4.819415,10.0
156,M,1.425,1.125,0.375,23.870279,11.69416875,5.1879585,6.23689,8.0
157,I,1.0875,0.875,0.25,10.30504325,4.09650275,2.50893075,3.2601925,8.0
158,M,1.6,1.2625,0.475,37.194544,15.989118,8.68912175,11.056305,12.0
159,I,0.7,0.5125,0.25,3.6003865,1.474174,0.83631025,0.9922325,7.0
160,F,1.325,1.0375,0.35,22.736299,10.77281,4.89028875,5.17378375,9.0
161,I,0.625,0.4375,0.15,1.94194075,0.94970825,0.46776675,0.56699,5.0
162,M,1.45,1.15,0.4125,24.153774,10.3475675,4.9044635,6.3786375,9.0
163,I,0.525,0.3625,0.1,1.31825175,0.510291,0.18427175,0.4252425,5.0
164,M,1.65,1.2875,0.4375,38.9805625,15.97494325,6.1518415,14.5999925,29.0
165,M,1.2875,0.9875,0.3375,19.5328055,9.1568885,4.025629,4.819415,7.0
166,I,0.8625,0.625,0.2,5.6982495,1.9561155,1.17650425,1.5025235,8.0
167,I,0.7375,0.575,0.175,3.72795925,1.63009625,0.8788345,1.13398,6.0
168,I,1.275,0.9375,0.3,16.839603,8.54737425,3.78465825,5.10291,8.0
169,M,1.3125,0.925,0.325,16.76872925,7.52679225,3.04757125,4.15320175,10.0
170,F,1.725,1.375,0.4375,42.297454,18.9091165,10.2341695,11.49572225,13.0
171,M,1.3375,1.0875,0.4125,22.169309,8.3631025,4.60679375,6.23689,10.0
172,I,1.2125,0.975,0.3,15.3937785,7.10154975,2.5231055,4.53592,8.0
173,M,1.7375,1.375,0.5625,50.95822625,24.56484175,9.9506745,13.60776,10.0
174,F,1.3125,1.0375,0.3625,25.41532675,10.035723,6.19436575,7.2291225,12.0
175,M,1.6125,1.225,0.3875,33.849303,13.5794105,6.36446275,8.0796075,9.0
176,F,1.475,1.1875,0.4125,30.40483875,12.133586,6.690482,8.334753,12.0
177,I,1.15,0.9,0.3375,15.43630275,7.81028725,3.1467945,3.69960975,7.0
178,F,1.5625,1.225,0.3875,34.8415355,15.705623,6.1518415,9.07184,11.0
179,F,1.25,0.9375,0.3125,15.43630275,7.81028725,3.7704835,4.3941725,7.0
180,I,1.0625,0.8,0.225,10.44679075,4.46504625,1.80019325,2.83495,7.0
181,F,1.75,1.3375,0.475,49.54075125,23.28911425,11.226402,14.30232275,10.0
182,F,1.5125,1.1625,0.375,26.54930675,11.169703,6.19436575,8.00873375,10.0
183,I,0.6875,0.5125,0.1875,2.721552,1.020582,0.52446575,0.850485,5.0
184,I,1.0,0.75,0.225,8.57572375,3.628736,1.7860185,2.1262125,6.0
185,F,1.325,1.05,0.4125,20.921931,9.48290775,5.4714535,6.80388,9.0
186,I,1.2625,0.975,0.3125,16.76872925,8.164656,3.24601775,5.11708475,9.0
187,M,1.375,1.1125,0.4,23.51591025,7.3992195,5.85417175,7.2291225,11.0
188,I,1.15,0.85,0.275,13.154168,6.76135575,2.0128145,3.01922175,8.0
189,F,1.7125,1.4,0.5,42.410852,12.85649825,10.602713,14.74174,19.0
190,I,1.1125,0.825,0.25,10.41844125,4.74854125,2.324659,3.40194,7.0
191,I,1.075,0.85,0.3125,13.53688625,6.36446275,2.5231055,3.40194,8.0
192,M,0.9875,0.75,0.2125,8.50485,3.515338,1.6159215,2.494756,7.0
193,I,0.4625,0.3375,0.1125,0.907184,0.3118445,0.18427175,0.283495,4.0
194,M,1.4625,1.15,0.425,28.02348075,11.29727575,5.9250455,9.07184,9.0
195,I,0.7375,0.5625,0.2,3.96893,1.2757275,0.623689,1.2757275,11.0
196,M,1.2125,0.95,0.3,18.313777,8.20718025,3.96893,4.80524025,10.0
197,I,1.525,1.175,0.375,30.4190135,13.79203175,6.6054335,7.7961125,11.0
198,F,1.525,1.175,0.45,30.277266,14.92601175,6.44951125,8.26387925,9.0
199,M,1.5,1.15,0.4125,31.808139,12.6722265,7.27164675,8.63242275,15.0
200,I,1.3875,1.0625,0.3625,23.586784,12.6722265,4.63514325,6.19436575,10.0
201,M,1.7625,1.3875,0.4625,43.1762885,19.6462035,9.87980075,10.489315,11.0
202,M,1.7,1.325,0.4375,39.7743485,17.78931125,8.731646,10.77281,12.0
203,F,1.525,1.2625,0.4125,38.11590275,17.293195,8.80251975,10.20582,13.0
204,M,1.5375,1.175,0.4125,28.81726675,13.9196045,7.087375,7.5126175,11.0
205,M,1.225,0.9625,0.3375,16.839603,6.0951425,4.26659975,5.8116475,11.0
206,F,1.575,1.2125,0.375,31.1561005,14.8834875,7.200773,8.6465975,12.0
207,F,1.5875,1.25,0.4,36.967748,16.4143605,8.34892775,9.4970825,11.0
208,M,1.3125,1.0125,0.3375,20.3265915,7.52679225,4.1673765,6.23689,8.0
209,M,1.4875,1.1375,0.4125,30.06464475,11.8784405,6.3219385,9.2135875,14.0
210,F,1.2875,0.975,0.3125,15.932419,7.7961125,3.7137845,4.252425,9.0
211,M,1.375,1.1125,0.375,26.138239,11.12717875,5.54232725,7.2291225,8.0
212,F,1.3375,1.075,0.3625,24.70658925,12.06271225,4.91863825,8.06543275,9.0
213,I,0.9375,0.725,0.225,7.654365,3.52951275,1.8994165,2.11203775,7.0
214,M,1.3375,1.1,0.3625,27.62658775,8.8733935,4.86193925,8.50485,17.0
215,I,1.2875,0.9875,0.3375,21.55979475,9.8372765,4.422522,5.00368675,8.0
216,M,1.4,1.075,0.35,22.8213475,10.53183925,5.216308,8.221355,8.0
217,I,1.1375,0.9125,0.3,12.60135275,5.28718175,2.42388225,4.53592,7.0
218,M,1.15,0.9125,0.3125,13.777857,5.896696,2.9766975,4.252425,8.0
219,I,1.4,1.0625,0.3125,20.36911575,9.525432,4.025629,6.3786375,8.0
220,M,0.825,0.65,0.225,6.0951425,2.7499015,1.20485375,1.70097,6.0
221,M,1.5125,1.1875,0.375,34.62891425,17.08057375,8.221355,8.3631025,12.0
222,M,1.475,1.1375,0.425,27.71163625,12.28950825,5.74077375,8.0796075,19.0
223,I,0.6875,0.4375,0.1875,3.64291075,1.91359125,0.5953395,1.2757275,5.0
224,F,1.4875,1.1625,0.375,36.457457,15.35125425,7.78193775,8.12213175,10.0
225,F,1.525,1.175,0.375,30.0221205,12.79979925,6.8322295,7.7961125,13.0
226,F,1.5625,1.225,0.375,34.1611475,14.84096325,8.77417025,9.07184,10.0
227,M,0.85,0.6375,0.175,4.91863825,2.2963095,0.963883,1.5025235,6.0
228,F,1.5875,1.3,0.4125,39.87357175,17.90270925,8.448151,11.056305,11.0
229,F,1.6625,1.3625,0.3875,43.70075425,19.731252,7.9662095,11.623295,13.0
230,I,1.0375,0.8125,0.25,8.845044,3.01922175,1.70097,2.67902775,6.0
231,M,1.4875,1.15,0.4,31.75144,15.592225,6.2652395,8.0796075,11.0
232,F,1.3,1.0125,0.4125,22.0275615,8.845044,4.0539785,7.7961125,13.0
233,M,1.8375,1.475,0.5375,57.606184,20.96445525,13.79203175,18.66814575,13.0
234,I,1.0375,0.8125,0.2875,10.2341695,4.932813,2.097863,3.40194,7.0
235,I,1.0375,0.8125,0.25,10.5176645,4.7343665,1.644271,2.9766975,6.0
236,F,1.1125,0.8125,0.275,12.984071,5.74077375,2.82077525,3.8271825,9.0
237,I,0.475,0.3625,0.1,1.304077,0.4252425,0.226796,0.340194,4.0
238,I,0.8875,0.65,0.2,5.03203625,2.721552,1.0489315,1.65844575,6.0
239,I,1.3125,1.0,0.325,16.9813505,8.391452,4.15320175,4.2807745,11.0
240,I,0.9375,0.7,0.225,6.42116175,3.50116325,1.587572,1.814368,7.0
241,M,1.4125,1.1375,0.4,30.43318825,12.51630425,5.11708475,8.3631025,15.0
242,I,1.0625,0.7875,0.275,10.33339275,4.309124,2.33883375,2.9199985,8.0
243,I,1.4875,1.15,0.4,26.365035,10.035723,5.48562825,8.788345,10.0
244,M,1.625,1.3125,0.475,45.74191825,20.695135,10.6310625,11.3398,10.0
245,F,1.625,1.3125,0.4375,39.745999,16.4143605,6.95980225,11.3398,11.0
246,I,1.1125,0.8875,0.2875,12.54465375,5.37223025,2.62232875,4.3941725,10.0
247,I,1.475,1.125,0.375,22.1976585,9.8372765,5.06038575,6.1518415,10.0
248,M,1.175,0.875,0.3125,13.90542975,6.0951425,3.685435,3.81300775,8.0
249,F,1.5125,1.1875,0.4125,25.51455,12.43125575,4.9044635,7.654365,12.0
250,F,1.625,1.2375,0.4125,34.60056475,15.52135125,6.8322295,9.07184,11.0
251,F,1.575,1.225,0.45,34.8415355,14.855138,7.7394135,9.2135875,11.0
252,I,0.925,0.6875,0.225,6.95980225,2.8632995,1.6159215,2.1262125,6.0
253,M,1.25,0.9625,0.2875,15.77649675,7.10154975,3.78465825,4.252425,9.0
254,F,1.5625,1.2,0.4125,32.601925,15.52135125,6.42116175,8.50485,8.0
255,M,1.4375,1.125,0.375,24.90503575,11.736693,6.73300625,6.23689,9.0
256,F,1.4625,1.15,0.4125,29.937072,10.035723,5.1312595,9.7805775,16.0
257,M,1.325,0.9625,0.275,18.597272,7.04485075,3.64291075,4.53592,11.0
258,M,1.5375,1.2625,0.425,35.096681,17.22232125,8.4198015,8.9300925,11.0
259,M,1.5625,1.2625,0.45,37.23706825,16.62698175,7.41339425,10.30504325,11.0
260,F,1.175,0.925,0.2875,13.31009025,5.82582225,2.87747425,4.3941725,11.0
261,I,0.875,0.6625,0.2,5.443104,2.2963095,1.70097,1.70097,6.0
262,M,1.1,0.8125,0.3125,10.02154825,4.1673765,2.16873675,3.21766825,9.0
263,M,1.6125,1.25,0.4375,35.22425375,15.762322,8.561549,9.4970825,9.0
264,F,1.4,1.1,0.4,28.0943545,9.865626,5.71242425,9.922325,15.0
265,F,1.5125,1.225,0.375,30.51823675,11.679994,6.1518415,8.50485,13.0
266,M,1.375,1.0625,0.325,24.777463,10.6877615,5.0178615,6.81805475,9.0
267,M,1.625,1.2875,0.4375,39.2073585,18.01610725,9.015141,10.77281,11.0
268,I,1.4375,1.075,0.3125,22.849697,9.87980075,4.422522,6.0951425,8.0
269,M,1.4125,1.1125,0.475,26.1098895,10.24834425,5.74077375,10.0640725,18.0
270,F,1.6375,1.2875,0.4875,37.9032815,17.8318355,8.85921875,10.9145575,11.0
271,M,1.4375,1.125,0.375,24.16794875,9.90815025,5.046211,7.087375,9.0
272,F,1.4,1.0625,0.4125,24.777463,8.34892775,6.690482,7.2291225,16.0
273,I,0.925,0.6875,0.225,6.30776375,2.42388225,1.40330025,2.1262125,6.0
274,I,1.2,0.8875,0.3,12.00601325,4.762716,2.36718325,4.762716,8.0
275,F,1.8125,1.375,0.4875,43.1762885,19.94387325,10.56018875,11.4815475,11.0
276,I,1.05,0.85,0.275,10.19164525,3.4869885,2.2963095,2.9766975,9.0
277,F,1.7,1.3125,0.45,47.95317925,21.36134825,9.185238,11.1980525,11.0
278,I,0.9125,0.65,0.225,5.556502,2.0128145,1.3891255,1.70097,6.0
279,M,1.575,1.2,0.4,35.777069,17.73261225,8.0229085,9.412034,9.0
280,M,1.0,0.7375,0.25,7.8528115,3.2601925,1.7293195,2.4097075,8.0
281,I,0.975,0.725,0.25,7.24329725,3.7137845,1.7293195,2.1262125,8.0
282,F,1.75,1.3125,0.5,49.9234695,20.2131935,9.525432,13.834556,10.0
283,F,1.3375,1.025,0.4,24.777463,9.48290775,5.71242425,7.7961125,13.0
284,M,1.5,1.1625,0.4,29.44095575,12.82814875,6.3219385,9.7805775,10.0
285,M,0.9125,0.7,0.25,6.30776375,2.65067825,1.4458245,2.1262125,7.0
286,M,1.5375,1.225,0.4125,31.2694985,15.252031,6.2652395,8.9300925,9.0
287,M,1.3125,1.025,0.35,21.8007655,10.6310625,4.35164825,5.953395,10.0
288,I,1.3375,1.05,0.35,21.375523,10.19164525,4.479221,5.386405,8.0
289,M,1.4375,1.1875,0.3875,29.44095575,10.4042665,7.07320025,9.7805775,11.0
290,M,1.5125,1.175,0.4,33.46658475,13.62193475,4.63514325,8.9867915,18.0
291,M,1.55,1.225,0.45,36.740952,11.15552825,5.74077375,12.45960525,16.0
292,M,1.6125,1.275,0.4375,41.63124075,13.13999325,9.2135875,12.757275,17.0
293,M,1.6125,1.2625,0.4125,36.117263,14.50076925,8.83086925,10.5176645,11.0
294,M,1.45,1.125,0.4375,26.32251075,10.21999475,5.9250455,7.654365,11.0
295,M,1.175,0.875,0.325,15.3937785,6.67630725,3.5436875,4.9611625,8.0
296,F,1.55,1.2125,0.375,32.034935,13.380964,7.95203475,8.0796075,8.0
297,M,1.275,1.0125,0.3,19.06503875,7.10154975,4.01145425,5.5281525,10.0
298,I,1.4875,1.2,0.325,28.8314415,14.35902175,5.76912325,7.257472,9.0
299,F,1.6125,1.2375,0.4375,37.03862175,15.762322,8.46232575,9.7805775,11.0
300,M,1.6125,1.25,0.4,40.61065875,18.32795175,8.29222875,9.63883,10.0
301,M,1.4625,1.2,0.4625,29.41260625,13.6928085,6.39281225,9.08601475,10.0
302,M,1.5625,1.2125,0.4625,33.112216,13.70698325,8.4198015,10.0640725,10.0
303,F,1.575,1.2375,0.45,37.33784575,15.9813505,7.66853975,10.9712565,11.0
304,F,1.525,1.2125,0.375,36.3157095,16.85377775,9.2135875,9.355335,12.0
305,M,1.4125,1.125,0.3875,26.52095725,10.829509,6.10931725,8.50485,12.0
306,F,1.5,1.1875,0.375,27.99513125,13.16834275,5.62737575,8.9300925,9.0
307,F,1.6375,1.225,0.4125,37.32211675,13.9763035,8.49067525,9.7805775,10.0
308,F,1.675,1.3125,0.4125,38.96638775,18.9091165,9.695529,10.0640725,12.0
309,I,0.5875,0.4,0.1125,1.360776,0.52446575,0.4252425,0.510291,4.0
310,I,1.175,0.9125,0.3125,12.99824575,4.6776675,2.8066005,3.685435,9.0
311,M,1.525,1.125,0.35,27.895908,13.4660125,5.613201,6.3786375,8.0
312,M,1.5625,1.225,0.4125,31.18445,14.13222575,6.90310325,8.9300925,11.0
313,M,1.2,0.925,0.2875,14.628342,5.71242425,3.7137845,4.3941725,9.0
